id_cliente,nombre,email,edad,ciudad,salario,fecha_registro,categoria,telefono,activo,puntos_fidelidad,ultima_compra
1,Cliente_1,cliente1@email.com,66.0,Valencia,2235.89463157098,2016-03-22 22:25:26.825944,B,+34 674293979,False,NULL,2025-04-02 22:25:26.833943
2,Cliente_2,cliente2@email.com,,Barcelona,44151.95762798051,2025-10-08 22:25:26.825944,E,+34 663639417,1,N/A,2024-12-23 22:25:26.833943
3,Cliente_3,cliente3@email.com,75.0,Bilbao,35136.41647831912,2017-05-12 22:25:26.825944,C,+34 652916829,True,NULL,2025-09-25 22:25:26.833943
4,Cliente_4,cliente4@email.com,35.0,Bilbao,13325.6200839191,2021-12-16 22:25:26.825944,C,+34 641535944,True,200,2025-02-17 22:25:26.833943
5,Cliente_5,cliente5@email.com,38.0,Valencia,42037.06323479533,2018-11-05 22:25:26.825944,C,+34 602269798,True,200,2023-11-18 22:25:26.833943
6,Cliente_6,cliente6@email.com,veinticinco,Desconocido,24025.186409640573,2016-08-09 22:25:26.825944,F,+34 604181726,0,500,2025-10-27 22:25:26.833943
7,Cliente_7,cliente7@email.com,36.0,Valencia,26070.503455221708,2016-07-02 22:25:26.825944,F,+34 603439289,Sí,NULL,2025-09-15 22:25:26.833943
8,Cliente_8,cliente8@email.com,veinticinco,Desconocido,22384.80326301507,2019-07-03 22:25:26.825944,INVALID,+34 691571895,Sí,-1,2024-05-14 22:25:26.833943
9,Cliente_9,cliente9@email.com,16.0,Sevilla,34535.98266357337,2024-07-30 22:25:26.825944,INVALID,+34 616186862,Sí,500,2025-05-26 22:25:26.833943
10,Cliente_10,cliente10@email.com,44.0,Madrid,18219.7028623192,2018-12-26 22:25:26.825944,C,+34 682932385,0,100,2025-05-11 22:25:26.833943
11,Cliente_11,cliente11@email.com,,Valencia,43522.119449216785,2023-13-45,G,+34 682031862,1,NULL,2024-03-22 22:25:26.833943
12,Cliente_12,cliente12@email.com,16.0,NULL,27917.061192079924,2022-11-07 22:25:26.825944,F,+34 694280222,Sí,N/A,2025-11-01 22:25:26.833943
13,Cliente_13,cliente13@email.com,78.0,Desconocido,24536.962747680936,2023-01-31 22:25:26.825944,D,+34 692407347,False,N/A,2024-08-05 22:25:26.833943
14,Cliente_14,cliente14@email.com,74.0,Valencia,41293.135164209554,2017-11-14 22:25:26.825944,C,+34 619375691,True,N/A,2024-01-29 22:25:26.833943
15,Cliente_15,cliente15@email.com,,Málaga,25206.648565213793,2016-04-20 22:25:26.825944,D,+34 687741878,1,300,2025-01-31 22:25:26.833943
16,Cliente_16,cliente16@email.com,47.0,Barcelona,44222.65238043452,2020-05-18 22:25:26.825944,D,+34 633378855,True,200,2024-06-23 22:25:26.833943
17,,cliente17@email.com,72.0,NULL,44693.89426261299,2024-06-30 22:25:26.825944,C,+34 688827492,Sí,500,2024-02-13 22:25:26.833943
18,Cliente_18,correo_no_valido,36.0,NULL,9977.942426715344,2022-11-26 22:25:26.825944,B,+34 686845550,1,N/A,2023-12-28 22:25:26.833943
19,Cliente_19,cliente19@email.com,63.0,Desconocido,46638.90303334386,2018-09-09 22:25:26.825944,G,+34 651267968,No,100,2025-10-06 22:25:26.833943
20,Cliente_20,cliente20@email.com,73.0,Málaga,8069.460427471717,2017-02-24 22:25:26.825944,C,+34 612275520,False,N/A,2024-12-05 22:25:26.833943
21,Cliente_21,cliente21@email.com,56.0,Málaga,47573.707903237664,2025-04-01 22:25:26.825944,INVALID,+34 655341816,Sí,-1,2025-11-02 22:25:26.833943
22,Cliente_22,cliente22@email.com,74.0,Bilbao,60425.35788345359,2016-03-25 22:25:26.825944,C,+34 664990398,Sí,200,2025-04-29 22:25:26.833943
23,Cliente_23,cliente23@email.com,,Desconocido,-25733.798108818195,2021-02-13 22:25:26.825944,F,+34 605422569,False,NULL,2025-09-08 22:25:26.833943
24,Cliente_24,correo_no_valido,76.0,Madrid,-2354.7096704950964,2021-06-24 22:25:26.825944,C,+34 666394805,False,200,2024-05-05 22:25:26.833943
25,Cliente_25,cliente25@email.com,76.0,Barcelona,45953.48579079028,2018-09-14 22:25:26.825944,B,+34 697682857,No,NULL,2025-07-14 22:25:26.833943
26,Cliente_26,correo_no_valido,61.0,Sevilla,63691.93448904018,2025-05-28 22:25:26.825944,F,+34 647468948,Sí,NULL,2024-12-28 22:25:26.833943
27,Cliente_27,cliente27@email.com,76.0,NULL,25454.525385029563,2018-11-23 22:25:26.825944,INVALID,+34 635202256,0,500,2025-09-28 22:25:26.833943
28,Cliente_28,cliente28@email.com,veinticinco,Sevilla,29479.450199551648,2023-12-18 22:25:26.825944,A,+34 659871253,Sí,300,2024-08-21 22:25:26.833943
29,Cliente_29,cliente29@email.com,69.0,Valencia,12172.699171103519,2016-10-07 22:25:26.825944,A,+34 636938405,True,NULL,2023-11-05 22:25:26.833943
30,Cliente_30,cliente30@email.com,78.0,Valencia,34681.19128229504,2018-01-22 22:25:26.825944,D,+34 689696866,1,NULL,2024-03-21 22:25:26.833943
